Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.51     0.00        8     0.00     0.00  std::complex<double>::operator*=(double)
  0.00      2.51     0.00        8     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, double const&)
  0.00      2.51     0.00        7     0.00     0.00  sIf::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00        7     0.00     0.00  sIf::sIf(sExpr*, sStmtList*, sStmtList*)
  0.00      2.51     0.00        7     0.00     0.00  sIf::~sIf()
  0.00      2.51     0.00        7     0.00     0.00  sIf::~sIf()
  0.00      2.51     0.00        7     0.00     0.00  sVarDef::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00        7     0.00     0.00  sVarDef::~sVarDef()
  0.00      2.51     0.00        7     0.00     0.00  sVarDef::~sVarDef()
  0.00      2.51     0.00        7     0.00     0.00  tType::isError() const
  0.00      2.51     0.00        7     0.00     0.00  tValue::isError() const
  0.00      2.51     0.00        6     0.00     0.00  sMult::sMult(sExpr*, sExpr*)
  0.00      2.51     0.00        6     0.00     0.00  sMult::~sMult()
  0.00      2.51     0.00        6     0.00     0.00  sMult::~sMult()
  0.00      2.51     0.00        6     0.00     0.00  sObject::isGlobal() const
  0.00      2.51     0.00        6     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.51     0.00        5     0.00     0.00  sDef::settype(tType const&)
  0.00      2.51     0.00        5     0.00     0.00  sConstDef::sConstDef(std::string*, sExpr*)
  0.00      2.51     0.00        5     0.00     0.00  sConstDef::~sConstDef()
  0.00      2.51     0.00        5     0.00     0.00  sConstDef::~sConstDef()
  0.00      2.51     0.00        5     0.00     0.00  sObject::isConstDef() const
  0.00      2.51     0.00        5     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      2.51     0.00        5     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      2.51     0.00        4     0.00     0.00  yyScanFile(_IO_FILE*)
  0.00      2.51     0.00        4     0.00     0.00  openqclfile(std::string)
  0.00      2.51     0.00        4     0.00     0.00  zero(bitvec const&)
  0.00      2.51     0.00        4     0.00     0.00  yyparse()
  0.00      2.51     0.00        4     0.00     0.00  sListFunct::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00        4     0.00     0.00  sListFunct::sListFunct(ObjType, sExprList*)
  0.00      2.51     0.00        4     0.00     0.00  sListFunct::~sListFunct()
  0.00      2.51     0.00        4     0.00     0.00  sListFunct::~sListFunct()
  0.00      2.51     0.00        4     0.00     0.00  sSubscript::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00        4     0.00     0.00  sSubscript::sSubscript(sVar*, sExprList*)
  0.00      2.51     0.00        4     0.00     0.00  sSubscript::~sSubscript()
  0.00      2.51     0.00        4     0.00     0.00  sSubscript::~sSubscript()
  0.00      2.51     0.00        4     0.00     0.00  sExpr::basetype()
  0.00      2.51     0.00        4     0.00     0.00  sLess::sLess(sExpr*, sExpr*)
  0.00      2.51     0.00        4     0.00     0.00  sLess::~sLess()
  0.00      2.51     0.00        4     0.00     0.00  sLess::~sLess()
  0.00      2.51     0.00        4     0.00     0.00  sUnOp::typecheck(SymTable*, SymTable*)
